Nf,sample,Nd,occurence,Site,Tree,Plug,Site_tree_plug,State,dateSamp,dbh,NeoFruiting,RaisedCanker,TarrySpots,Wax,Xylococcus,TreeCond,quartile,NeoCoverage,lat,lon,elev_m,Year_infection_observed.min,county,year_sampled,duration_infection,Site_mean.dbh,Site_mean.NeoFruiting,Site_mean.RaisedCanker,Site_mean.TarrySpots,Site_mean.Wax,Site_mean.Xylococcus,Site_mean.TreeCond,ppt,tmax,MAT,tmin,total_seqs
1,BP133,0,Nf,ASH2,53,1,ASH2_53_1,NC,27-Jan-19,10,2,0,0,1,0,0,lower quartile dbh,2,35.320256,-82.843865,1550,1999,Haywood,2019,20,16.6921875,0.703125,0.03125,0,0.453125,0,0.625,1951.430054,15.59000015,10.11666679,4.643333435,8275
1,BP134,1,both,WF1,42,1,WF1_42_1,WI,22-Apr-18,38.2,0,0,0,3,0,2,upper quartile dbh,0,44.92835,-87.18913,616,2009,Door,2018,9,30.14901961,0,0,0,3.254901961,0,2.196078431,797.6300049,11.61499977,6.860000134,2.105000019,13422
1,BP135,0,Nf,ASH2,66,1,ASH2_66_1,NC,27-Jan-19,18.7,4,0,0,1,0,1,interquartile dbh,2,35.320256,-82.843865,1550,1999,Haywood,2019,20,16.6921875,0.703125,0.03125,0,0.453125,0,0.625,1951.430054,15.59000015,10.11666679,4.643333435,44817
1,BP136,0,Nf,ADN1,19,4,ADN1_19_4,NY,26-May-18,19.3,2,2,0,2,1,1,lower quartile dbh,2,44.49242,-74.02946,603,1975,Franklin,2018,43,18.13,0.18,0.58,0.08,0.98,0.38,0.52,1140.719971,11.32499981,5.073333263,-1.178333402,22999
0,BP138,0,none,GK1j,20,1,GK1j_20_1,WV,2-May-18,27.1,0,3,0,1,2,2,upper quartile dbh,0,38.60741,-79.84431,1161,1999,Randolph,2018,19,25.69607843,0.156862745,1.647058824,0,0.607843137,0.745098039,2.470588235,1385.109985,12.9491663,7.011250019,1.073333263,1
1,BP139,0,Nf,GK1j,50,1,GK1j_50_1,WV,2-May-18,19.7,0,3,0,1,1,3,interquartile dbh,1,38.60741,-79.84431,1161,1999,Randolph,2018,19,25.69607843,0.156862745,1.647058824,0,0.607843137,0.745098039,2.470588235,1385.109985,12.9491663,7.011250019,1.073333263,22134
1,BP14,0,Nf,CW1,6,2,CW1_6_2,NH,18-Jan-19,32.2,2,1,1,2,0,1,upper quartile dbh,1,43.133999,-70.951026,15,1960,Strafford,2019,59,27.76428571,1.214285714,1.357142857,0.928571429,1.642857143,0,0.428571429,1150.579956,14.38083363,8.432916641,2.485000134,1796
0,BP140,0,none,ASH2,43,1,ASH2_43_1,NC,27-Jan-19,11,0,0,0,0,0,1,lower quartile dbh,0,35.320256,-82.843865,1550,1999,Haywood,2019,20,16.6921875,0.703125,0.03125,0,0.453125,0,0.625,1951.430054,15.59000015,10.11666679,4.643333435,638
1,BP141,0,Nf,GK1j,16,4,GK1j_16_4,WV,2-May-18,22.2,1,3,0,1,2,2,interquartile dbh,1,38.60741,-79.84431,1161,1999,Randolph,2018,19,25.69607843,0.156862745,1.647058824,0,0.607843137,0.745098039,2.470588235,1385.109985,12.9491663,7.011250019,1.073333263,28524
1,BP142,1,both,ADS1,14,4,ADS1_14_4,NY,29-Apr-18,23.2,4,2,0,1,0,1,interquartile dbh,2,43.08413,-74.44064,430,1960,Fulton,2018,58,23.75882353,0.745098039,1.980392157,0,0.882352941,0.039215686,1.549019608,1229.859985,12.16166687,6.522083282,0.882499993,18610
