"sample","shannon","simpson","richness"
"MES1.2",0.948967903975807,0.385043474776165,28.316
"MES1.30",2.10840022868326,0.821925976745801,29
"MES1.18",1.07638245751675,0.485897623526375,18.18
"MI1.2",1.76694047783126,0.660066324220218,35.96
"MI1.11",1.33335542935123,0.559265586215796,31.486
"MI1.50",2.48313760839317,0.821214105438134,46.616
"MI1.14",2.85564221067187,0.896508541792066,56.579
"MI1.43",0.705376224233383,0.321919872660575,21.036
"MI1.15",2.66673920800238,0.867288155942707,54.65
"MI1.42",2.14495251483102,0.769839982559756,40.581
"MI1.38",2.25792571587592,0.864375446124796,25.532
"MI1.1",1.42422960814244,0.576136800116054,33.415
"MI1.20",1.23949604027813,0.6182334572157,10.625
"MI1.5",3.19596121485659,0.921237609692799,63.687
"TSP1.50",1.78831462593109,0.738214361110822,30.516
"TSP1.49",2.6673787665521,0.869246921308115,55.541
"TSP1.16",1.07633042353878,0.349592053789045,41.752
"TSP1.18",0.627421419089737,0.245622466816651,25.435
"TSP1.47",0.688032393851808,0.223085260830223,28.026
"TSP1.13",2.39896883905208,0.79696961181833,65.782
"TSP1.26",2.73850607192011,0.895932633853468,72.238
"TSP1.34",2.74653432261705,0.903087673290378,54.059
"WF1.15",1.26585771731018,0.606290408907989,15.814
"WF1.4",1.26898151732908,0.640395808570886,13.032
"WF1.42",2.15146485646388,0.810218273944869,41.887
"WF1.22",0.97460317998357,0.45424330261788,18.278
"WF1.45",1.42618638943997,0.560180649184213,28.775
"WF1.17",1.04686654612507,0.435750776034733,15.352
"WF1.35",1.47317099569492,0.684308144096808,11.753
"WF1.13",1.59148706361354,0.690711313476355,26.184
"WF1.9",1.52429145099488,0.722484962198111,19.492
"WF1.48",1.34168905131739,0.652132908120533,16.174
"WF1.47",1.65072766462783,0.680003515299085,22.802
"WF1.24",1.53241898465032,0.649004434598686,19.472
"WF1.6",1.79529640308818,0.778579984274927,15.589
"WF1.8",1.24716837658006,0.627746093778177,12.925
"WF1.46",1.55143512131859,0.73605688917671,11.01
"WF1.34",1.55772340637011,0.643913722089399,25.612
"WF1.27",2.16482205043908,0.823731832211392,25.215
"WF1.19",1.71648306772632,0.694891372769977,26.58
"WF1.28",1.41202846794809,0.572005940582949,18.476
"WF1.16",2.19871470490804,0.809388426122215,32.669
"WF1.36",0.289296550867388,0.113170623448632,7.847
